Species	Genus	Tribe	Subfamily	Family	Photosynthetic_type
Alloteropsis_semialata	Alloteropsis	Paniceae	Panicoideae	Poaceae	C4
Arthropogon_lanceolatus	Arthropogon	Paspaleae	Panicoideae	Poaceae	C4
Brachiaria_ruziziensis	Brachiaria 	Paniceae	Panicoideae	Poaceae	C4
Brachypodium_distachyon	Brachypodium	Brachypodieae	Pooideae	Poaceae	C3
Brachypodium_stacei	Brachypodium	Brachypodieae	Pooideae	Poaceae	C3
Cenchrus_americanus	Cenchrus 	Paniceae	Panicoideae	Poaceae	C4
Centotheca_lappacea	Centotheca	Centotheceae	Panicoideae	Poaceae	C3
Chasmanthium_latifolium	Chasmanthium	Chasmanthieae	Panicoideae	Poaceae	C3
Coix_aquatica	Coix 	Andropogoneae	Panicoideae	Poaceae	C4
Coix_lacryma_jobi_var_lacryma_jobi	Coix 	Andropogoneae	Panicoideae	Poaceae	C4
Coix_lacryma_jobi_var_ma_yuen	Coix 	Andropogoneae	Panicoideae	Poaceae	C4
Cortaderia_richardii	Cortaderia		Danthonioideae	Poaceae	C3
Dichanthelium_oligosanthes	Dichanthelium	Paniceae	Panicoideae	Poaceae	C3
Digitaria_exilis	Digitaria 	Paniceae	Panicoideae	Poaceae	C4
Echinochloa_crus_galli	Echinochloa 	Paniceae	Panicoideae	Poaceae	C4
Echinochloa_haploclada	Echinochloa 	Paniceae	Panicoideae	Poaceae	C4
Echinochloa_oryzicola	Echinochloa 	Paniceae	Panicoideae	Poaceae	C4
Eleusine_coracana	Eleusine	Cynodonteae	Chloridoideae	Poaceae	C4
Eragrostis_curvula	Eragrostis	Eragrostideae	Chloridoideae	Poaceae	C4
Eragrostis_nindensis	Eragrostis 	Eragrostideae	Chloridoideae	Poaceae	C4
Guadua_angustifolia	Guadua	Bambuseae	Bambusoideae	Poaceae	C3
Ichnanthus_panicoides	Ichnanthus	Paspaleae	Panicoideae	Poaceae	C3
Isachne_arundinacea	Isachne	Isachneae	Micrairoideae	Poaceae	C3
Miscanthus_sinensis	Miscanthus	Andropogoneae	Panicoideae	Poaceae	C4
Merxmuellera_disticha	Merxmuellera		Danthonioideae	Poaceae	C3
Oplismenus_compositus	Oplismenus	Paniceae	Panicoideae	Poaceae	C3
Panicum_hallii	Panicum	Paniceae	Panicoideae	Poaceae	C4
Panicum_miliaceum	Panicum 	Paniceae	Panicoideae	Poaceae	C4
Panicum_virgatum	Panicum	Paniceae	Panicoideae	Poaceae	C4
Paspalum_conjugatum	Paspalum	Paspaleae	Panicoideae	Poaceae	C4
Phragmites_australis	Phragmites		Arundinoideae	Poaceae	C3
Phyllostachys_edulis	Phyllostachys	Arundinarieae	Bambusoideae	Poaceae	C3
Phyllostachys_heterocycla	Phyllostachys	Arundinarieae	Bambusoideae	Poaceae	C3
Setaria_italica	Setaria	Paniceae	Panicoideae	Poaceae	C4
Setaria_viridis	Setaria	Paniceae	Panicoideae	Poaceae	C4
Sorghum_bicolor	Sorghum	Andropogoneae	Panicoideae	Poaceae	C4
Thinopyrum_intermedium	Thinopyrum	Triticeae	Pooideae	Poaceae	C3
Zea_mays	Zea	Andropogoneae	Panicoideae	Poaceae	C4
